rank,feasible,pv_kw,wind_kw,dg_kw,batt_kwh,elz_kw,gas_storage_m3,npc,lpsp_pct,gas_violation
186,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
187,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
188,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
189,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
190,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
191,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
192,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
193,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
194,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
195,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
196,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
197,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
198,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
199,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
200,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
201,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
202,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
203,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
204,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
205,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,0.00
206,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
207,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
208,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
209,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
210,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
211,True,226.31,84.87,23.18,540.40,77.26,0.39,1059072,1.0000,-0.00
